,driverId,forename,surname,code,number,raceId,year,round,circuitId,name,date,fp1_date,fp1_time,fp2_date,fp2_time,fp3_date,fp3_time,quali_date,quali_time,time_x,time_y,lap,position
27,830,Max,Verstappen,VER,33,1121,2024,1,3,Bahrain Grand Prix,2024-03-02,2024-02-29,11:30:00,2024-02-29,15:00:00,2024-03-01,12:30:00,2024-03-01,16:00:00,15:00:00,1:35.477,28,1
28,830,Max,Verstappen,VER,33,1121,2024,1,3,Bahrain Grand Prix,2024-03-02,2024-02-29,11:30:00,2024-02-29,15:00:00,2024-03-01,12:30:00,2024-03-01,16:00:00,15:00:00,1:35.793,29,1
29,830,Max,Verstappen,VER,33,1121,2024,1,3,Bahrain Grand Prix,2024-03-02,2024-02-29,11:30:00,2024-02-29,15:00:00,2024-03-01,12:30:00,2024-03-01,16:00:00,15:00:00,1:35.771,30,1
30,830,Max,Verstappen,VER,33,1121,2024,1,3,Bahrain Grand Prix,2024-03-02,2024-02-29,11:30:00,2024-02-29,15:00:00,2024-03-01,12:30:00,2024-03-01,16:00:00,15:00:00,1:35.679,31,1
31,830,Max,Verstappen,VER,33,1121,2024,1,3,Bahrain Grand Prix,2024-03-02,2024-02-29,11:30:00,2024-02-29,15:00:00,2024-03-01,12:30:00,2024-03-01,16:00:00,15:00:00,1:35.886,32,1
32,830,Max,Verstappen,VER,33,1121,2024,1,3,Bahrain Grand Prix,2024-03-02,2024-02-29,11:30:00,2024-02-29,15:00:00,2024-03-01,12:30:00,2024-03-01,16:00:00,15:00:00,1:35.863,33,1
33,830,Max,Verstappen,VER,33,1121,2024,1,3,Bahrain Grand Prix,2024-03-02,2024-02-29,11:30:00,2024-02-29,15:00:00,2024-03-01,12:30:00,2024-03-01,16:00:00,15:00:00,1:36.133,34,1
34,830,Max,Verstappen,VER,33,1121,2024,1,3,Bahrain Grand Prix,2024-03-02,2024-02-29,11:30:00,2024-02-29,15:00:00,2024-03-01,12:30:00,2024-03-01,16:00:00,15:00:00,1:36.018,35,1
35,830,Max,Verstappen,VER,33,1121,2024,1,3,Bahrain Grand Prix,2024-03-02,2024-02-29,11:30:00,2024-02-29,15:00:00,2024-03-01,12:30:00,2024-03-01,16:00:00,15:00:00,1:36.205,36,1
36,830,Max,Verstappen,VER,33,1121,2024,1,3,Bahrain Grand Prix,2024-03-02,2024-02-29,11:30:00,2024-02-29,15:00:00,2024-03-01,12:30:00,2024-03-01,16:00:00,15:00:00,1:39.234,37,1
